"RouteName","year","english","french","bird_guild","count","human_footprint","change_human_footprint","proportion_forest"
"DUNNVILLE",2018,"Blue Jay","Geai bleu","Urban",2,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2015,"Black-capped Chickadee","Mésange à tête noire","Urban",2,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2018,"Mourning Dove","Tourterelle triste","Urban",43,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2017,"American Robin","Merle d'Amérique","Urban",94,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2015,"Warbling Vireo","Viréo mélodieux","Urban",22,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2015,"Yellow Warbler","Paruline jaune","Urban",18,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2015,"Wood Thrush","Grive des bois","Forest",1,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2015,"American Robin","Merle d'Amérique","Urban",102,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2017,"Black-capped Chickadee","Mésange à tête noire","Urban",6,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2015,"Song Sparrow","Bruant chanteur","Urban",35,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2015,"Northern Cardinal","Cardinal rouge","Urban",8,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2017,"House Wren","Troglodyte familier","Urban",11,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2018,"Warbling Vireo","Viréo mélodieux","Urban",26,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2015,"House Wren","Troglodyte familier","Urban",2,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2018,"Baltimore Oriole","Oriole de Baltimore","Urban",9,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2018,"Common Grackle","Quiscale bronzé","Urban",75,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2015,"Chipping Sparrow","Bruant familier","Urban",36,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2017,"Yellow Warbler","Paruline jaune","Urban",8,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2018,"Yellow Warbler","Paruline jaune","Urban",17,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2018,"House Finch","Roselin familier","Urban",2,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2017,"Warbling Vireo","Viréo mélodieux","Urban",18,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2016,"Warbling Vireo","Viréo mélodieux","Urban",16,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2016,"Yellow Warbler","Paruline jaune","Urban",15,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2016,"Mourning Dove","Tourterelle triste","Urban",23,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2016,"Baltimore Oriole","Oriole de Baltimore","Urban",13,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2016,"Common Grackle","Quiscale bronzé","Urban",35,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2016,"House Finch","Roselin familier","Urban",11,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2016,"Chipping Sparrow","Bruant familier","Urban",22,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2016,"House Wren","Troglodyte familier","Urban",9,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2017,"Song Sparrow","Bruant chanteur","Urban",33,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2018,"Chipping Sparrow","Bruant familier","Urban",29,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2018,"Song Sparrow","Bruant chanteur","Urban",38,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2018,"Northern Cardinal","Cardinal rouge","Urban",14,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2016,"Song Sparrow","Bruant chanteur","Urban",19,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2016,"Northern Cardinal","Cardinal rouge","Urban",4,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2016,"Black-capped Chickadee","Mésange à tête noire","Urban",4,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2016,"American Robin","Merle d'Amérique","Urban",82,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2015,"Blue Jay","Geai bleu","Urban",2,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2016,"Downy Woodpecker","Pic mineur","Urban",3,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2016,"Blue Jay","Geai bleu","Urban",2,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2017,"Mourning Dove","Tourterelle triste","Urban",45,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2017,"Downy Woodpecker","Pic mineur","Urban",3,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2017,"Blue Jay","Geai bleu","Urban",3,6.73914200331825,3.6,0.176820194133593
"DUNNVILLE",2017,"Baltimore Oriole","Oriole de Baltimore","Urban",10,6.73914200331825,3.6,0.176820194133593
